I, [2018-07-11T08:31:48.176756 #18332]  INFO -- Kitchen: -----> Starting Kitchen (v1.22.0)
E, [2018-07-11T08:31:48.177464 #18332] ERROR -- Kitchen: ------Exception-------
E, [2018-07-11T08:31:48.177498 #18332] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-07-11T08:31:48.177514 #18332] ERROR -- Kitchen: Message: Kitchen YAML file /root/apache-configuration-ci-1/roles/.kitchen.yml does not exist.
E, [2018-07-11T08:31:48.177528 #18332] ERROR -- Kitchen: ----------------------
E, [2018-07-11T08:31:48.177540 #18332] ERROR -- Kitchen: ------Backtrace-------
E, [2018-07-11T08:31:48.177552 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-07-11T08:31:48.177570 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:152:in `data'
E, [2018-07-11T08:31:48.177582 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:131:in `suites'
E, [2018-07-11T08:31:48.177594 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-07-11T08:31:48.177606 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-07-11T08:31:48.177617 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/config.rb:117:in `instances'
E, [2018-07-11T08:31:48.177629 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-07-11T08:31:48.177648 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-07-11T08:31:48.177660 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/command/test.rb:40:in `block in call'
E, [2018-07-11T08:31:48.177725 #18332] ERROR -- Kitchen: /usr/local/rvm/rubies/ruby-2.5.1/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-07-11T08:31:48.177740 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/command/test.rb:38:in `call'
E, [2018-07-11T08:31:48.177753 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/cli.rb:52:in `perform'
E, [2018-07-11T08:31:48.177765 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/cli.rb:245:in `test'
E, [2018-07-11T08:31:48.177778 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/thor-0.20.0/lib/thor/command.rb:27:in `run'
E, [2018-07-11T08:31:48.177790 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/thor-0.20.0/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-07-11T08:31:48.177806 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/thor-0.20.0/lib/thor.rb:387:in `dispatch'
E, [2018-07-11T08:31:48.177819 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/thor-0.20.0/lib/thor/base.rb:466:in `start'
E, [2018-07-11T08:31:48.177831 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/bin/kitchen:13:in `block in <top (required)>'
E, [2018-07-11T08:31:48.177851 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-07-11T08:31:48.177864 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/gems/test-kitchen-1.22.0/bin/kitchen:13:in `<top (required)>'
E, [2018-07-11T08:31:48.177876 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/bin/kitchen:23:in `load'
E, [2018-07-11T08:31:48.177888 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/bin/kitchen:23:in `<main>'
E, [2018-07-11T08:31:48.177900 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/bin/ruby_executable_hooks:24:in `eval'
E, [2018-07-11T08:31:48.177912 #18332] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-2.5.1/bin/ruby_executable_hooks:24:in `<main>'
E, [2018-07-11T08:31:48.177924 #18332] ERROR -- Kitchen: ----End Backtrace-----
